REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
80000200,1993,1, 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 61,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80000200,1993,1, 62,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80000200,1993,1, 63,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
80000200,1993,1, 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 65,183,13,9,4,1,17,37,42,21,13,4,5,6,0,2,2,1,0,0,6
80000200,1993,1, 66,7,0,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
80000200,1993,1, 67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,100,6,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0
80000200,1993,1,101,46,0,0,0,0,0,0,0,0,1,3,4,1,7,10,5,10,4,0,1
80000200,1993,1,102,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,107,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,108,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,1,109,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
80000200,1993,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,112,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
80000200,1993,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,117,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
80000200,1993,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,120,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
80000200,1993,1,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,122,15,4,1,1,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0
80000200,1993,1,123,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,125,10,0,0,1,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0
80000200,1993,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,132,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,133,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,142,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,148,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,153,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,154,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,158,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,160,20,9,3,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
80000200,1993,1,161,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,164,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,165,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,170,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,  1,389,17,9,8,16,39,55,41,34,32,29,24,14,26,7,16,4,2,6,10
80000200,1993,2,  2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,  3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,2,  4,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
80000200,1993,2,  5,4,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
80000200,1993,2,  6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,2,  7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,  8,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,  9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
80000200,1993,2, 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 11,10,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,2,1,0,0
80000200,1993,2, 12,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
80000200,1993,2, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 18,6,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0
80000200,1993,2, 19,11,0,0,0,0,0,0,2,2,1,0,2,0,3,0,1,0,0,0,0
80000200,1993,2, 20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 21,8,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0
80000200,1993,2, 22,5,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0
80000200,1993,2, 23,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,2, 24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 30,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,2, 31,12,0,0,0,1,0,1,2,1,3,0,1,0,0,1,1,0,0,0,1
80000200,1993,2, 32,6,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
80000200,1993,2, 33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80000200,1993,2, 34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 40,4,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
80000200,1993,2, 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,2, 43,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 44,4,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
80000200,1993,2, 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 46,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80000200,1993,2, 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80000200,1993,2, 55,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,2, 56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 61,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,2, 62,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 63,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
80000200,1993,2, 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 65,90,5,2,1,4,21,33,9,6,2,1,0,1,0,0,1,1,0,1,2
80000200,1993,2, 66,8,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 67,40,0,0,0,1,3,3,3,3,4,7,5,2,4,0,4,0,1,0,0
80000200,1993,2, 68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 70,68,0,0,0,0,3,3,9,9,12,9,5,2,6,2,2,1,0,3,2
80000200,1993,2, 71,33,0,0,0,0,2,1,3,4,6,6,4,0,1,0,1,1,0,2,2
80000200,1993,2, 72,4,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0
80000200,1993,2, 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 74,10,0,0,0,0,1,2,3,2,0,0,0,0,1,0,1,0,0,0,0
80000200,1993,2, 75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 77,21,0,0,0,0,0,0,3,3,4,3,1,1,4,1,0,0,0,1,0
80000200,1993,2, 78,5,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0
80000200,1993,2, 79,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
80000200,1993,2, 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 81,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80000200,1993,2, 82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 84,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80000200,1993,2, 85,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
80000200,1993,2, 86,16,0,2,1,2,0,1,3,0,1,1,1,2,1,0,1,0,0,0,0
80000200,1993,2, 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 91,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
80000200,1993,2, 92,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80000200,1993,2, 93,5,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
